Time,Login,Deposit,Closed P/L,Balance,Credit,Floating P/L,Equity,Used Margin,Free Margin
2023.06.29,120121,0,0,0,0,0,0,0,0
2023.06.29,120122,0,0,0.47,0,0,0.47,0,0.47
2023.06.29,120123,0,0,0,0,0,0,0,0
2023.06.29,120124,0,0,0,0,0,0,0,0
2023.06.29,120125,0,0,0,0,0,0,0,0
2023.06.29,120126,0,0,0,0,0,0,0,0
2023.06.29,120127,0,0,0,0,0,0,0,0
2023.06.29,120129,0,0,0,0,0,0,0,0
2023.06.29,120130,0,0,0,0,0,0,0,0
2023.06.29,120131,0,0,0.52,0,0,0.52,0,0.52
2023.06.29,120132,0,0,0,0,0,0,0,0
2023.06.29,120133,0,0,0,0,0,0,0,0
2023.06.29,120134,0,0,0,0,0,0,0,0
2023.06.29,120135,0,0,0,0,0,0,0,0
2023.06.29,120136,0,0,0,0,0,0,0,0
2023.06.29,120137,0,0,0,0,0,0,0,0
2023.06.29,120138,0,0,0,0,0,0,0,0
2023.06.29,120139,0,0,0,0,0,0,0,0
2023.06.29,120140,0,0,0,0,0,0,0,0
2023.06.29,120141,0,0,10.51,0,0,10.51,0,10.51
2023.06.29,120142,0,0,0,0,0,0,0,0
2023.06.29,120143,0,0,0.85,0,0,0.85,0,0.85
2023.06.29,120144,0,0,0,0,0,0,0,0
2023.06.29,120145,0,0,0,0,0,0,0,0
2023.06.29,120146,0,0,10.92,0,0,10.92,0,10.92
2023.06.29,120147,0,0,0,0,0,0,0,0
2023.06.29,120148,0,0,0,0,0,0,0,0
2023.06.29,120149,0,0,0,0,0,0,0,0
2023.06.29,120150,0,0,0,0,0,0,0,0
2023.06.29,120151,0,0,0,0,0,0,0,0
2023.06.29,120152,0,0,0,0,0,0,0,0
2023.06.29,120156,0,0,2.56,0,0,2.56,0,2.56
2023.06.29,120157,0,0,0,0,0,0,0,0
2023.06.29,120158,0,0,0,0,0,0,0,0
2023.06.29,120159,0,0,0,0,0,0,0,0
2023.06.29,120160,0,0,0,0,0,0,0,0
2023.06.29,120161,0,0,0,0,0,0,0,0
2023.06.29,120162,0,0,0,0,0,0,0,0
2023.06.29,120163,0,0,0,0,0,0,0,0
2023.06.29,120164,0,0,0.01,0,0,0.01,0,0.01
2023.06.29,120167,0,0,0,0,0,0,0,0
2023.06.29,120168,0,0,0.66,0,0,0.66,0,0.66
2023.06.29,120169,0,0,0,0,0,0,0,0
2023.06.29,120170,0,0,0,0,0,0,0,0
2023.06.29,120171,0,0,0,0,0,0,0,0
2023.06.29,120172,0,0,2.17,0,0,2.17,0,2.17
2023.06.29,120173,0,0,0.85,0,0,0.85,0,0.85
2023.06.29,120175,0,0,0,0,0,0,0,0
2023.06.29,120176,0,0,3.47,0,0,3.47,0,3.47
2023.06.29,120177,0,0,0,0,0,0,0,0
2023.06.29,120178,0,0,4.86,0,0,4.86,0,4.86
2023.06.29,120179,0,0,0,0,0,0,0,0
2023.06.29,120180,0,0,3.21,0,0,3.21,0,3.21
2023.06.29,120181,0,0,0.29,0,0,0.29,0,0.29
2023.06.29,120182,0,0,0,0,0,0,0,0
2023.06.29,120183,0,0,0.95,0,0,0.95,0,0.95
2023.06.29,120184,0,0,0,0,0,0,0,0
2023.06.29,120185,-500,494.36,3278.37,0,-215.16,3063.21,448.32,2614.89
2023.06.29,120186,0,0,0,0,0,0,0,0
2023.06.29,120187,0,0,0,0,0,0,0,0
2023.06.29,120188,0,0,0,0,0,0,0,0
2023.06.29,120189,0,0,0.59,0,0,0.59,0,0.59
2023.06.29,120190,0,0,0,0,0,0,0,0
2023.06.29,120191,0,0,0,0,0,0,0,0
2023.06.29,120192,0,0,0,0,0,0,0,0
2023.06.29,120193,0,0,1.49,0,0,1.49,0,1.49
2023.06.29,120194,0,0,0,0,0,0,0,0
2023.06.29,120195,0,0,0,0,0,0,0,0
2023.06.29,120196,0,0,0,0,0,0,0,0
2023.06.29,120197,0,0,0,0,0,0,0,0
2023.06.29,120198,0,0,0.35,0,0,0.35,0,0.35
2023.06.29,120199,0,0,0,0,0,0,0,0
2023.06.29,120200,0,0,0,0,0,0,0,0
2023.06.29,120201,0,0,0,0,0,0,0,0
2023.06.29,120202,0,0,0,0,0,0,0,0
2023.06.29,120203,0,0,0,0,0,0,0,0
2023.06.29,120204,0,0,2.53,0,0,2.53,0,2.53
2023.06.29,120205,0,0,1019.01,200,-394.6,824.41,120,704.41
2023.06.29,120206,0,0,1303.91,0,-460.37,843.54,140,703.54
2023.06.29,120207,0,0,2165.9,0,0,2165.9,0,2165.9
2023.06.29,120208,0,0,0,0,0,0,0,0
2023.06.29,120209,0,0,0,0,0,0,0,0
2023.06.29,120210,0,0,4.09,0,0,4.09,0,4.09
2023.06.29,120211,0,0,1421.3,200,-526.14,1095.16,32,1063.16
2023.06.29,120212,0,0,0,0,0,0,0,0
2023.06.29,120213,0,0,0,0,0,0,0,0
2023.06.29,120214,0,0,378.33,0,0,378.33,0,378.33
2023.06.29,120221,0,0,0.55,0,0,0.55,0,0.55
2023.06.29,120222,0,0,0,0,0,0,0,0
2023.06.29,120223,0,0,0,0,0,0,0,0
2023.06.29,120224,0,0,0,0,0,0,0,0
2023.06.29,120225,0,0,0,0,0,0,0,0
2023.06.29,120226,0,0,0,0,0,0,0,0
2023.06.29,120227,0,0,1.09,0,0,1.09,0,1.09
2023.06.29,120228,0,0,0.35,0,0,0.35,0,0.35
2023.06.29,120229,0,0,3420.32,500,-1183.81,2736.51,360,2376.51
2023.06.29,120230,0,0,9934.86,0,-3288.36,6646.5,1000,5646.5
2023.06.29,120233,0,0,0,0,0,0,0,0
2023.06.29,120235,0,0,0,0,0,0,0,0
2023.06.29,120236,0,0,0,0,0,0,0,0
2023.06.29,120320,0,0,0,0,0,0,0,0
2023.06.29,120323,0,0,0,0,0,0,0,0
2023.06.29,120324,0,0,0,0,0,0,0,0
2023.06.29,120326,0,0,0,0,0,0,0,0
2023.06.29,120327,0,0,0,0,0,0,0,0
2023.06.29,120328,0,0,0,0,0,0,0,0
2023.06.29,120329,0,0,0,0,0,0,0,0
2023.06.29,120330,0,0,0,0,0,0,0,0
2023.06.29,120331,0,0,0,0,0,0,0,0
2023.06.29,120332,0,0,0,0,0,0,0,0
2023.06.29,120333,0,0,0,0,0,0,0,0
2023.06.29,120334,0,0,0,0,0,0,0,0
2023.06.29,120335,0,0,0,0,0,0,0,0
2023.06.29,120336,0,0,0,0,0,0,0,0
2023.06.29,120341,0,0,0,0,0,0,0,0
2023.06.29,120342,0,0,0,0,0,0,0,0
2023.06.29,120343,0,0,0,0,0,0,0,0
2023.06.29,120351,0,0,0,0,0,0,0,0
2023.06.29,125476,0,0,0,0,0,0,0,0
2023.06.29,125478,0,0,10988.13,500,-718.35,10769.78,63.29,10706.49
2023.06.29,125479,0,0,0,0,0,0,0,0
2023.06.29,125480,0,0,2.48,0,0,2.48,0,2.48
2023.06.29,125481,0,0,0,0,0,0,0,0
2023.06.29,125482,0,0,0,0,0,0,0,0
