Deal,Login,Open Time,Type,Symbol,Volume,Open Price,Close Time,Close Price,Commission,Taxes,Agent,Swap,Profit,Pips,Comment
526951,310914,2023.06.28 00:19:52,buy,usdjpy,0.05,143.801,2023.06.29 12:38:37,144.648,0,0,0,0,29.28,847,
526978,14629293,2023.06.28 01:24:09,buy,audchf,0.01,0.59569,2023.06.29 15:56:29,0.59569,0,0,0,0,0,0,
527074,1998457,2023.06.27 09:47:30,buy,gbpaud,0.05,1.90114,2023.06.29 14:45:15,1.90415,0,0,0,0,9.97,301,from #527073
527077,126039,2023.06.28 06:19:56,buy,xauusd,0.1,1915.15,2023.06.29 14:13:13,1908.04,0,0,0,0,-71.1,-711,
527096,626188,2023.06.28 06:39:18,buy,xauusd,0.03,1912.85,2023.06.29 12:16:54,1910.98,0,0,0,-1.86,-5.61,-187,
527109,14629613,2023.06.28 06:48:05,buy,xauusd,0.01,1910.52,2023.06.29 10:59:24,1909.67,0,0,0,0,-0.85,-85,
527118,14629180,2023.06.28 07:02:35,buy,xauusd,0.45,1910.99,2023.06.29 12:07:19,1910.3,0,0,0,0,-31.05,-69,[sl]
527129,14629293,2023.06.28 07:00:51,buy,audcad,0.05,0.87836,2023.06.29 01:40:18,0.87849,0,0,0,0,0.49,13,
527145,465272,2023.06.28 07:30:36,buy,xauusd,0.03,1910.06,2023.06.29 12:34:11,1901.19,0,0,0,-1.86,-26.61,-887,
527359,2074578,2023.06.28 12:46:41,buy,xauusd,0.03,1907.95,2023.06.29 10:39:10,1908,0,0,0,0,0.15,5,
527360,2079923,2023.06.28 12:46:41,buy,xauusd,0.03,1907.95,2023.06.29 10:39:10,1908,0,0,0,0,0.15,5,
527361,2279262,2023.06.28 12:46:41,buy,xauusd,0.01,1907.95,2023.06.29 10:39:10,1908,0,0,0,0,0.05,5,
527425,1269052,2023.06.28 13:30:33,buy,xauusd,0.03,1909.48,2023.06.29 11:56:17,1910.12,0,0,0,-1.86,1.92,64,
527573,14628905,2023.06.29 02:58:55,buy,xauusd,0.2,1905,2023.06.29 07:38:30,1906.21,0,0,0,0,24.2,121,
527643,120185,2023.06.28 14:49:01,buy,xauusd,0.1,1907.75,2023.06.29 12:14:22,1911.28,0,0,0,0,35.3,353,
527650,14629293,2023.06.28 14:52:45,buy,nzdcad,0.03,0.80693,2023.06.29 01:43:01,0.80699,0,0,0,0,0.14,6,
